claim,label
Villains or visionaries? Hedge funds short companies they say 'greenwash'.,true
Berlin nightclub patrons urged to get meningitis test.,true
"Want to Live Longer? Every Movement Counts, Even Cleaning the House",false
"As America's waistline expands, costs soar.",true
"""Under �Trumpcare,�"""" domestic violence and sexual assault """"could be considered pre-existing conditions.""",false
"""The Human Rights Campaign is """"more powerful than the NRA.""",false
"""On August 13 2020, U.S. President Donald Trump said: """"They need that money in order to make the post office work so it can take all of these millions and millions of ballots... Now, if we don�t make a deal, that means they don�t get the money. That means they can�t have universal mail-in voting, they just can�t have it.�""",true
Predicting violence in psychopaths is 'no more than chance'.,true
Nonalcoholic Beer Aids Marathon Recovery,false
"""Bill White Says Republican state leaders are using """"Soviet-style"""" budget management.""",false
Man in Rhode Island tests positive for rare equine virus.,true
"""Children who witness domestic violence are """"twice as likely to commit it themselves.""",true
"George Michael died of natural causes, British coroner says.",true
"Facebook post Says the CEO of Camping World told Trump supporters �Frankly, don�t shop at my business.�",false
Vehicle search prompted by marijuana smell ruled illegal.,true
Austria bets on mass testing to manage coronavirus spread.,true
Democrats unveil new policies before gubernatorial primary.,true
"Jerry Lewis, Hollywood survivor, showman, dies at 91.",true
Opponents of Georgia abortion ban promise court challenge.,true
Japan's tsunami survivors suffer in silence three years after disaster.,true
"As Bernie Sanders said, Hillary Clinton �voted for virtually every trade agreement that has cost the workers of this country millions, millions of jobs.� ",mixture
NBA players� union hires director of mental health.,true
China readies stimulus measures as local virus cases dwindle.,true
Dihydrogen monoxide is a dangerous chemical that should be banned.,false
Texas records 1st death linked to e-cigarette use.,true
"When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. There�s only one other four-year period where that�s true. That�s true from 2008 to 2012.",false
A saltwater solution will force insect pests out of infested strawberries. ,mixture
Advances in treatments for enlarged prostates,false
"""Newt Gingrich Says Hillary Clinton's health care plan from the 1990s """"had a broader provision in favor of corporate right to back out"""" of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision.""",false
"""Bovine tuberculosis"""" has appeared in a herd of cattle in Michigan.""",true
� A Germanwings airbus crash in the French Alps that killed 150 people was an act of terror because Germanwings co-pilot Andreas Lubitz had converted to a radical form of Islam before the crash. ,unproven
Indianapolis 500 officials to offer measles vaccine at race.,true
"�Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.�",true
US patents 7897744 and 8506968 are for SARS.,true
Groups sow doubt about COVID vaccine before one even exists.,true
Heart drug riddle solved: Beta blockers� ability to combat chronic failure linked to genetics,false
Delta Air Lines gives members of Planned Parenthood discounted rates on air travel.,false
Europe grapples with 'socio-economic tsunami' of coronavirus crisis.,true
"""John Morgan Says Cathy Jordan was """"arrested"""" and dragged out of her home by """"a SWAT team of hooligans"""" for using medical marijuana.""",false
"""Imitation dairy products often differ nutritionally from those they mimic, and labeling them """"milk"""" or """"cheese"""" or """"yogurt"""" is """"against the law.""",true
Hurricane Irma could be a Category 6 by the time it hits East Coast.,false
A 0.05 standard for drunken driving means having a glass of wine at dinner could make a person drunk.,true
Delaware doc accused of trading drugs for sex loses license.,true
" A prayer request for a 4-year old girl who has        been diagnosed with �non-Hodgkin�s lymphoma, stage 4.�� The email        says her father works for a temp service, the mom works part time at a        family-owned business, and that they do not have insurance.   ",true
Association of radiation therapy plus lumpectomy in reduced risk of dying in women with DCIS,mixture
"""Mexican government officials """"hand out brochures showing individuals how they can avoid our Border Patrol, how they can get into our country.""",false
"""Rhode Island gives undocumented pregnant women health insurance, plus a cash card """"with $400 a month on it"""" and """"$250 a month or $275 a month to spend on food.""",false
Nursing residency program to tackle rural health care needs.,true
Dana Milbank Says Bill O�Reilly spoke 40 percent of the words in an interview with President Barack Obama.,true
Pfizer lung cancer drug fails in two large studies.,true
Prenatal testing can detect cancer in pregnant mothers,false
Man who inspired ice bucket challenge is back in hospital.,true
Fat Hormone May Trick the Body to Help It Keep Extra Pounds Off,false
"Procter & Gamble, rivals take refills into beauty aisle.",true
Retinal implant trial helps blind people see shapes,false
�Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.�,false
There's no rationing in any of these bills.,false
Montana vape shop turns to home kits to dodge flavored ban.,true
"""A photograph shows a genuine crop circle resembling a logo for Microsoft Windows and the """"crown"""" shape associated with coronaviruses.""",false
UK doctor jailed for 15 years over unnecessary breast surgery.,true
"""Minecraft has a newly-discovered """"sex mod"""" of which parents should be aware and exercise caution (or restrict the game from their children entirely).""",false
Coffee may cut risk for some cancers,true
Study raises fresh dementia concerns from playing pro soccer.,true
"""Claims Joe Biden said """"coal is more dangerous than terrorists.""",false
Eating Takis brand corn chips causes ulcers and cancer in children.,mixture
Unilever says new milkshake helps control appetite.,true
"Hollywood film producer and alleged sexual predator Harvey Weinstein shot and killed himself in a Scottsdale, Arizona, hotel room.",false
"Donald Trump improperly received $150,000 in federal aid earmarked for small businesses damaged by the 9/11 attacks, despite the fact his business was neither small nor damaged in the attacks.",false
Hate UTIs? One Simple Step Can Cut the Risk,mixture
"""EMILY's List Says Tommy Thompson """"pushed such strict laws that abortion providers faced potential life imprisonment and women were forced to cross state lines in order to receive attention for life-threatening issues.""",mixture
A viral video shows a man punching a kangaroo in the face to save his dog.,true
Minimally invasive treatment reduces knee pain and disability from osteoarthritis,false
The character 'Rudolph the Red-Nosed Reindeer' was created by a father to bring comfort to his daughter as her mother was dying of cancer.,mixture
Drinking �water a lot and gargling with warm water & salt or vinegar eliminates� the coronavirus.,false
Very few men outlive their own fertility.,mixture
"Sitting inside a running, snowed-in car can result in carbon monoxide poisoning.",true
"""National Republican Congressional Committee Says that Rep. Betty Sutton """"would rather riot with Occupy (Wall Street) than stand up for Ohio families.""",false
Report: 3 million votes in presidential election cast by illegal aliens.,false
Florida's top court puts medical marijuana initiative on November ballot.,true
"""Said they reached a� """"power-sharing agreement"""" with Republican Lt. Gov. Casey Cagle""",false
"U.S. Sen. Kamala Harris, D-Calif., supports the ability to carry out abortions up until the time a woman gives birth. ",mixture
Burundi defies COVID-19 for election ending a bloody rule.,true
Study casts doubt on duct tape wart cure,true
Generic Drug Could Save Many Trauma Patients,true
Intensive Vegetable-Fruit Diet Shows No Effect on Breast Cancer Return,true
Swedish mammography study sows more confusion about screening for breast cancer,true
"""H.R. 4919, passed on 8 December 2016, allows the microchipping of """"mentally disabled"""" citizens such as patients with autism and Alzheimer's disease.""",false
Gene mutation underlies some mad cow disease: study.,true
US urges transparency in Ebola-like death in Tanzania.,true
Why do zebras have stripes? Perhaps to dazzle away flies.,true
Cancer treatment offers MS patients hope after 'remarkable' trial results,false
"Testing cholesterol in toddlers, even younger? Study says it could help",true
Harvard�s �Outbreak Week� marks centennial of flu pandemic.,true
Experimental Drug Helps Fight Aggressive Breast Cancer: Report,true
State adds anxiety to qualifying conditions for medical pot.,true
"Dr. Vladimir Zelenko's 669 COVID-19 patients that were treated with a combination of hydroxychloroquine, azithromycin, and zinc have seen zero hospitalizations, complications, or deaths. ",unproven
"Hanan al-Hroub, whose husband was jailed for providing chemicals used in making bombs that killed Israelis, was invited to speak at a Clinton Global Initiative dinner.",true
Bitter taste receptors may hold the key to managing preterm labor,false
Bay leaves contain a compound that decreases anxiety when burned.,unproven
Couple seeks to stop release of more vaccine data.,true
Growth hormone reduces risk of osteoporosis fractures in older women,false
"In 1994, a 17-year-old Eagle Scout built a nuclear reactor in his mother�s backyard, an act that ultimately necessitated a Superfund cleanup.",true
"""Adam Putnam Says the giant African land snail """"carries human meningitis.""",mixture
"""Donald Trump once said """"I never understood why people like dogs. Dogs are disgusting.""",false
The LGBT community is more often the victims of hate crimes than any other recognized group.,true
"Last week, the Supreme Court reversed a century of law that I believe will open the floodgates for special interests � including foreign corporations � to spend without limit in our elections.",false
Chairs removed from Mott�s Flint campus after bedbugs found.,true
" The story of an 11-year-old girl who has had        menstrual bleeding since she was 8 and has also started lactating.��        The eRumor says it is because she�s been drinking milk injected with rBST,        a hormone given to cows to increase their milk production.� The        eRumor focuses on Wal-Mart Great Value milk as a source of the rBST and        recommends against feeding it to your family. �     ",unproven
The FDA recently discovered that the Arizona Beverage Company uses human urine in many of their products.,false
"Vegetarian diets almost twice as effective in reducing body weight, study finds",false
Bangladesh grapples with country�s worst dengue outbreak.,true
Six people in Florida die as a result of (not expanding Medicaid) every day.,mixture
"""A veterinary pathologist testified that being immersed in a can of Mountain Dew would turn a mouse into a """"jelly-like"""" substance.""",true
Doubts on mammogram software,true
On changing the rules governing judicial conflicts of interest,mixture
In 2011 Mike Bloomberg said health care providers should not treat elderly prostate cancer patients in order to alleviate health care costs and overcrowding.,true
Shaheen announces broad legislation to address addiction.,true
"""Roger Stone Says Hillary Clinton """"shows up in Broward County"""" and had a private meeting with elections supervisor Brenda Snipes.""",false
Ranks of people reaching age 90 tripled since 1980: report.,true
"Former Bush, Reagan EPA heads warn on Trump rollbacks.",true
Cathay to let crew wear masks on all flights due to new coronavirus.,true
HOW TO LOSE WEIGHT: TWO-WEEK DIET BETTER FOR DROPPING POUNDS,mixture
Large Europe majorities for assisted suicide: survey.,true
Amazon�s growing ties to oil industry irks some employees.,true
" After music icon Prince died in April 2016 at the age of 57, rumors began swirling about his cause of death. ",unproven
Our African-American communities are absolutely in the worst shape they've ever been in before. Ever. Ever. Ever.,false
Coronavirus epidemic 'under control' in Norway: health minister.,true
"A government report from 2008 states that 35,000 veterans of the first Gulf War died as a direct result of adverse effects from an Anthrax vaccine they were mandated to receive.",unproven
Blogger Says George Soros and Bill Gates are funding a bioweapons lab in Sierra Leone that caused the Ebola outbreak.,false
GPS-like system helps surgeons align joints,true
Demand for public transportation is reaching record levels in Wisconsin.,false
"""Bernie Sanders Says Hillary Clinton supported and continues to """"support fracking.""",true
"""In Wisconsin, more than 300,000 people have """"some kind of addictive gambling problem, whether it�s pathological or what we�d categorize as a problem gambler.""",false
"More than shots, there's new help for allergy sufferers",true
"""Recently Rick Scott """"closed 30 women�s health care centers across the state.""",false
As governor of Florida I defunded Planned Parenthood.,true
"""Gov. Rick Perry """"has overseen the highest Texas unemployment in 22 years.""",mixture
Montana county faces transgender discrimination complaint.,true
Fruits and vegetables from other countries are being contaminated with blood containing either AIDS or HIV.,false
Exercise may be the Rx for RSI,true
"Bill Gates� polio vaccine permanently disabled 47,000 children in India.",false
Arizona schools use therapy dogs to assist mental health.,true
New York City Health (NYC Health) issued official guidelines for sex during a global coronavirus pandemic.,true
Researchers in Cuba have discovered a cancer vaccine that is already saving thousands of people.,mixture
Ultra-personal therapy: Gene tumor boards guide cancer care.,true
"When Disney was looking to build Disney World, they came to Miami and we told Disney to take a hike.",false
"With rare candor, Lovato chronicled her recovery and relapse.",true
Company to pay $245M toward cleanup of Kalamazoo River PCBs.,true
"""Bernie Sanders Says Bernie Sanders """"fundamentally changed the lives"""" of Immokalee farm workers in Florida for the better.""",mixture
"""Facebook post Says """"Pelosi blackmails Congress! She demands mail-in voting or no 2nd stimulus for you and your family.�""",false
Florida latest place to declare emergency over hepatitis A.,true
A video showing people who appear to be impaired by drugs is labeled as being from California.,false
Toledo clinic suspends surgical abortions during change.,true
The FDA Says This Brain-Stimulating Device May Help People With Obsessive-Compulsive Disorder,mixture
EU drug agency sees no U.S.-like cannabis legalization moves.,true
Housing options help autistic adults find independence.,true
The Centers for Disease Control have issued a warning concerning used condoms being repurposed as hairbands.,false
"Mesothelioma Surgery Improves Quality of Life, Study Finds",false
"Portugal suspends water, electricity shutoffs and releases some prisoners amid coronavirus outbreak.",true
Latest anti-aging craze �Dracula Therapy� involves injecting your face with your own blood,false
Jerry Patterson Says the Texas General Land Office led by George P. Bush has repaired just two homes since Hurricane Harvey.,true
"Republican Party of Florida Says Charlie Crist supports ""cuts to the Medicare Advantage program.""",false
French panel: Seize guns to reduce domestic violence.,true
Opioid crisis brings unwanted attention to wealthy family.,true
Asia prepares for coronavirus boomerang wave as residents return home.,true
The U.S. �would actually be on a glide path to balancing the budget� had Congress enacted Trump�s 2018 plan.,mixture
New Breast Cancer Test Approved,mixture
"""As of October 2017, there was an """"epidemic of child abduction"""" in the state of Kansas.""",false
"Italy coronavirus deaths jump to 52, cases climb above 2,000.",true
"""Barack Obama """"lied"""" about his father's military service during World War II.""",false
Sanders says he�ll enact national drinking water standards .,true
"""Judging by a recent vote, Rep. Debbie Wasserman Schultz """"thinks it's okay for medical marijuana patients to go to federal prison.""",false
The American Psychiatric Association condones pedophilia and says it is normal to be sexually attracted to children.,false
"Senate Bill 1070, simply, just mirrors federal law.",false
Peachtree and Pine is one of the leading sites for tuberculosis in the nation.,true
Sydney's city council reviews use of Bayer's Roundup weed killer amid cancer fears.,true
Drugs Show Promise Slowing Advanced Melanoma,true
Firm develops magnetic-pulse treatment for major depression,mixture
Tennessee reports 49 cases of lung injury linked to vaping.,true
Common dementia drug found to improve Parkinson's symptoms,mixture
Drivers in China commonly intentionally kill pedestrians in hit-and-run accidents.,unproven
"The 1988 animated film Akira predicted the 2020 Olympics would be in Tokyo, and that a pandemic (Coronavirus) would lead to its cancellation.",mixture
I opposed the only multilateral trade deal that came before the Senate while I was there.,mixture
A study �showed that over 1 million people in North Carolina have now been exposed to the virus.�,false
Snacks marketed to children are heavily laden with ingredients that cause cancer.,false
California sees high rate of flu deaths in unusually severe season.,true
"Former NFL quarterback Kurt Warner married a woman who had two children, one a special needs child. ",true
Georgia�s Kemp submits bid to remake health insurance market.,true
Pigs fly: China pork producers surge as swine disease cuts supply.,true
WellPoint says health exchange applicants hit expectations.,true
"""The GOP health care plan """"would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition.""",true
Israelis put on coronavirus lockdown for Passover holiday celebration.,true
"Obamacare cuts $500 billion in future Medicare funding in order to fund the new constitutionally questionable government mandate, even going so far as to scuttle Medicare's most popular (and successful) part, Medicare Advantage.",mixture
"""A newspaper clipping from 1918 documents a """"public notice"""" from the city of Kelowna, British Columbia, announcing that schools, movie theaters, and other public places would be closed to prevent the spread of """"Spanish Influenza."""" """,true
" A Saudi billionaire purchased the entire town of Buford, Wyoming, and has hired the Binladen Group to build a �Western Mecca� that will ban non-Muslims. ",false
